2025-09-27 11:59:50 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:59:52 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:59:54 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:59:56 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:59:58 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:00 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:02 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:04 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:06 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:08 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:10 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:12 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:14 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:16 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:19 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:21 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:23 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:25 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:27 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:29 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:31 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:33 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:35 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:37 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:39 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:41 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:44 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:46 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 12:00:48 - ui.charts_window - INFO - Charts data refreshed from Tree view
